iter	Logloss
0	0.6065612685
1	0.5281167928
2	0.4576763957
3	0.4069893148
4	0.3621502427
5	0.3296719387
6	0.3012489522
7	0.2774319412
8	0.2550801695
9	0.2349186002
10	0.2187911168
11	0.2043379507
12	0.1944241007
13	0.1840930217
14	0.1747798611
15	0.1603303332
16	0.1531255279
17	0.1461430578
18	0.1380283668
19	0.1299260823
20	0.1242937151
21	0.1185666887
22	0.1123799735
23	0.1075664534
24	0.1036318707
25	0.09971762814
26	0.09528823613
27	0.09135795484
28	0.08730552228
29	0.08416034456
30	0.08144840707
31	0.07822550622
32	0.07542251382
33	0.07330106048
34	0.07172210279
35	0.06885713508
36	0.06811432872
37	0.06619658765
38	0.06385196124
39	0.06200258211
40	0.05998707336
41	0.05844727352
42	0.05689603995
43	0.05496652129
44	0.05328018197
45	0.05182803582
46	0.05043514924
47	0.04905759733
48	0.04777561472
49	0.04652499332
50	0.04546683556
51	0.04456463082
52	0.04338028556
53	0.04247141005
54	0.04136977589
55	0.04044177694
56	0.03960190707
57	0.03877181683
58	0.0377666423
59	0.03679040991
60	0.03590401742
61	0.0351579614
62	0.03439587518
63	0.03372170471
64	0.03285133235
65	0.03220234612
66	0.03159890405
67	0.03106105255
68	0.03045886731
69	0.02986009739
70	0.02923600683
71	0.02867366705
72	0.02807025062
73	0.02750841507
74	0.02707441489
75	0.0265286919
76	0.02604454074
77	0.02558933947
78	0.02509778062
79	0.02465602538
80	0.02425391465
81	0.02381884129
82	0.02343819673
83	0.02307815367
84	0.02272447651
85	0.02238543446
86	0.02206756214
87	0.02176335291
88	0.02144865176
89	0.02116640087
90	0.02089540446
91	0.02061702932
92	0.02033093406
93	0.02004007335
94	0.01979886903
95	0.01953288385
96	0.01930606981
97	0.0190487989
98	0.01880214722
99	0.01856746525
100	0.01830445106
101	0.0180551474
102	0.01781559078
103	0.01760347142
104	0.01738049189
105	0.01717993644
106	0.01698140073
107	0.01679252366
108	0.01658851852
109	0.01636205819
110	0.01618860571
111	0.01602653321
112	0.01584006746
113	0.01566932456
114	0.0154923841
115	0.01532764615
116	0.01516064356
117	0.01498940602
118	0.0148434547
119	0.01468913857
120	0.01453334114
121	0.01439068874
122	0.01424141548
123	0.01409603396
124	0.01397301127
125	0.01383354675
126	0.01368573356
127	0.01355313277
128	0.01342447107
129	0.01329299604
130	0.013171918
131	0.01304284456
132	0.01291823253
133	0.01280397839
134	0.01269305788
135	0.01258192845
136	0.01246670689
137	0.01236245636
138	0.01225121481
139	0.01214248509
140	0.01204386254
141	0.01194609136
142	0.0118458022
143	0.01174836868
144	0.01164621517
145	0.01155375271
146	0.01145560376
147	0.01136824311
148	0.01127389078
149	0.01118478331
150	0.01109738728
151	0.01101575477
152	0.01093096232
153	0.01084290682
154	0.0107611725
155	0.01067574562
156	0.01058327366
157	0.01050486983
158	0.01042800318
159	0.01035235597
160	0.0102783248
161	0.01020467722
162	0.01013157132
163	0.01006054539
164	0.009992608431
165	0.009918958431
166	0.009849231871
167	0.009778095191
168	0.009707917916
169	0.009646732722
170	0.009579950665
171	0.009518125566
172	0.009435516469
173	0.009371576703
174	0.009312796448
175	0.009253019294
176	0.009190626231
177	0.009130266348
178	0.009072202646
179	0.009017431573
180	0.00896053633
181	0.008902137111
182	0.008847455671
183	0.008795376882
184	0.008740413587
185	0.008687106357
186	0.008632287956
187	0.008580713846
188	0.008530009236
189	0.008478409366
190	0.008428594633
191	0.008378173492
192	0.008330021672
193	0.008281412742
194	0.008233846305
195	0.008187824249
196	0.008141758531
197	0.008100342021
198	0.008052797377
199	0.00801081975
